stock_name,symbol,industry
Maitri Enterp.,MAITRI,Aluminium
Baroda Extrusion,BARODARY,Aluminium
Shilp Gravures,513709,Aluminium
PG Foils,KPGEL,Aluminium
Amco India,ADCINDIA,Aluminium
Sacheta Metals,META,Aluminium
Hind Aluminium,SHINDL,Aluminium
RCI Industries,RCIIND,Aluminium
Palco Metals Ltd,META,Aluminium
Parmeshwar Metal,META,Aluminium
Sharvaya Metals,META,Aluminium
Krupalu Metals,META,Aluminium
Sampat Aluminium,SAMPAT,Aluminium
Aluwind Infra,ALUWIND,Aluminium
ANB Metal,AMCL,Aluminium
Arfin India,ARFIN,Aluminium
Baheti Recycling,BAHETI,Aluminium
Century Extrus.,CENTEXT,Aluminium
Cubex Tubings,CUBEXTUB,Aluminium
Euro Panel,EUROBOND,Aluminium
Hindalco Inds.,HINDALCO,Aluminium
Jainik Power,JAINIK,Aluminium
Maan Aluminium,MAANALU,Aluminium
Manaksia Alumi.,MANAKALUCO,Aluminium
Madhav Copper,MCL,Aluminium
MMP Industries,MMP,Aluminium
Natl. Aluminium,NATIONALUM,Aluminium
Prec. Wires (I),PRECWIRE,Aluminium
Rajputana Indu.,RAJINDLTD,Aluminium
Rajnandini Metal,RAJMET,Aluminium
Sagardeep Alloys,SAGARDEEP,Aluminium
Shera Energy,SHERA,Aluminium
Sunlite Recycli.,SUNLITE,Aluminium
South Asian Ent.,SOUTHMG,Amusement Parks/ Other Recreation
Ajwa Fun World,AJWAFUN,Amusement Parks/ Other Recreation
Nicco Parks,NICCOPAR,Amusement Parks/ Other Recreation
Delta Corp,DELTACORP,Amusement Parks/ Other Recreation
Imagica. Enter.,IMAGICAA,Amusement Parks/ Other Recreation
Wonderla Holiday,WONDERLA,Amusement Parks/ Other Recreation
KSE,KSE,Animal Feed
Mayank Cattle Fo,FORBESCO,Animal Feed
Shivam Chemicals,SHIVAM,Animal Feed
Ajooni Biotech,AJOONI,Animal Feed
Avanti Feeds,AVANTIFEED,Animal Feed
Godrej Agrovet,GODREJAGRO,Animal Feed
Mukka Proteins,MUKKA,Animal Feed
Narmada Agrobase,NARMADA,Animal Feed
Shriram AMC,GAMCO,Asset Management Company
Aditya AMC,ABSLAMC,Asset Management Company
HDFC AMC,HDFCAMC,Asset Management Company
IL&FS Inv.Manag.,IVC,Asset Management Company
Nippon Life Ind.,NAM-INDIA,Asset Management Company
UTI AMC,UTIAMC,Asset Management Company
Amara Raja Ener.,ARE&M,Auto Components & Equipments
Asahi India Glas,ASAHIINDIA,Auto Components & Equipments
ASK Automotive,ASKAUTOLTD,Auto Components & Equipments
Banco Products,BANCOINDIA,Auto Components & Equipments
Belrise Industri,BELRISE,Auto Components & Equipments
Bharat Forge,BHARATFORG,Auto Components & Equipments
Bosch,BOSCHLTD,Auto Components & Equipments
CIE Automotive,CIEINDIA,Auto Components & Equipments
Craftsman Auto,CRAFTSMAN,Auto Components & Equipments
Endurance Tech.,ENDURANCE,Auto Components & Equipments
Exide Inds.,EXIDEIND,Auto Components & Equipments
Gabriel India,GABRIEL,Auto Components & Equipments
JBM Auto,JBMA,Auto Components & Equipments
Minda Corp,MINDACORP,Auto Components & Equipments
Samvardh. Mothe.,MOTHERSON,Auto Components & Equipments
Motherson Wiring,MSUMI,Auto Components & Equipments
Ramkrishna Forg.,RKFORGE,Auto Components & Equipments
Schaeffler India,SCHAEFFLER,Auto Components & Equipments
Shriram Pistons,SHRIPISTON,Auto Components & Equipments
Sona BLW Precis.,SONACOMS,Auto Components & Equipments
Sundram Fasten.,SUNDRMFAST,Auto Components & Equipments
Tube Investments,TIINDIA,Auto Components & Equipments
Uno Minda,UNOMINDA,Auto Components & Equipments
Varroc Engineer,VARROC,Auto Components & Equipments
ZF Commercial,ZFCVINDIA,Auto Components & Equipments
Competent Auto,GGAUTO,Auto Dealer
Naksh Precious,TEJNAKSH,Auto Dealer
Resourceful Auto,GGAUTO,Auto Dealer
Bikewo Green,BIKEWO,Auto Dealer
Landmark Cars,LANDMARK,Auto Dealer
Popular Vehicles,PVSL,Auto Dealer
Vivo Bio Tech,VIVOBIOT,Biotechnology
Genesis IBRC,514336,Biotechnology
Genomic Valley,539206,Biotechnology
Shree Ganesh Bio,3BBLACKBIO,Biotechnology
Advanced Enzyme,ADVENZYMES,Biotechnology
Anthem Bioscienc,ANTHEM,Biotechnology
Jagatjit Inds.,507155,Breweries & Distilleries
Cupid Breweries,CUPIDALBV,Breweries & Distilleries
Tahmar Enterp.,TAHMARENT,Breweries & Distilleries
Shri Gang Indus,SHRIGANG,Breweries & Distilleries
Suraj Industries,SURAJ,Breweries & Distilleries
Winsome Brew.,526471,Breweries & Distilleries
Comfort Intech,531216,Breweries & Distilleries
Agribio Spirits,539546,Breweries & Distilleries
FratelliVineyard,FRATELLI,Breweries & Distilleries
Monika Alcobev,MONIKA,Breweries & Distilleries
Allied Blenders,ABDL,Breweries & Distilleries
Assoc.Alcohols,ASALCBR,Breweries & Distilleries
Aurangabad Dist.,AURDIS,Breweries & Distilleries
BCL Industries,BCLIND,Breweries & Distilleries
Globus Spirits,GLOBUSSPR,Breweries & Distilleries
G M Breweries,GMBREW,Breweries & Distilleries
IFB Agro Inds.,IFBAGRO,Breweries & Distilleries
India Glycols,INDIAGLYCO,Breweries & Distilleries
Piccadily Agro,PICCADIL,Breweries & Distilleries
Radico Khaitan,RADICO,Breweries & Distilleries
Som Distilleries,SDBL,Breweries & Distilleries
Sula Vineyards,SULA,Breweries & Distilleries
Tilaknagar Inds.,TI,Breweries & Distilleries
United Breweries,UBL,Breweries & Distilleries
United Spirits,UNITDSPR,Breweries & Distilleries
Informed Techn.,504810,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
BNR Udyog,BNRUDY,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
G-Tech Info.,532139,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Platinumone Bus.,543352,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Alldigi Tech,ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Cadsys (India),CADSYS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
eClerx Services,ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Firstsour.Solu.,FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Hinduja Global,HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
HRH Next,HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Kandarp Digi,KANDARP,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
One Point One,ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Plada Infotech S,PLADAINFO,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
RPSG Ventures,RPSGVENT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
We Win Ltd,WEWIN,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Ultracab India,ADCINDIA,Cables - Electricals
Advait Energy,ENERGYINF,Cables - Electricals
JD Cables,JDCABLES,Cables - Electricals
Systematic Inds.,SYSTEMATIC,Cables - Electricals
B.C. Power,BCP,Cables - Electricals
Bhadora Indust.,BHADORA,Cables - Electricals
CMI,CMICABLES,Cables - Electricals
Cords Cable,CORDSCABLE,Cables - Electricals
DCG Cables,DCG,Cables - Electricals
Divine Power,DPEL,Cables - Electricals
Dynamic Cables,DYCL,Cables - Electricals
Finolex Cables,FINCABLES,Cables - Electricals
KEI Industries,KEI,Cables - Electricals
Marco Cables,MARCO,Cables - Electricals
Paramount Comm.,PARACABLES,Cables - Electricals
Plaza Wires,PLAZACABLE,Cables - Electricals
Polycab India,POLYCAB,Cables - Electricals
Prime Cable Ind.,PRIMECAB,Cables - Electricals
Quadrant Future,QUADFUTURE,Cables - Electricals
R R Kabel,RRKABEL,Cables - Electricals
Universal Cables,UNIVCABLES,Cables - Electricals
V-Marc India,VMARCIND,Cables - Electricals
Himadri Special,HSCL,Carbon Black
PCBL Chemical,PCBL,Carbon Black
Inv.& Prec.Cast.,504786,Castings & Forgings
Nitin Castings,NITINCAST,Castings & Forgings
Krishanveer Forg,LGBFORGE,Castings & Forgings
Smiths & Founder,OROSMITHS,Castings & Forgings
Gujarat Intrux,GUJARATPOLY,Castings & Forgings
Magna Electrocas,MAGNAELQ,Castings & Forgings
Creative Casting,CREATIVE,Castings & Forgings
Samrat Forgings,SAMRATPH,Castings & Forgings
Amic Forging,AMIC,Castings & Forgings
Super Iron,SUPERIRON,Castings & Forgings
Neetu Yoshi,NEETUYOSHI,Castings & Forgings
Swastika Castal,SWASTIKA,Castings & Forgings
Abha Power,ABHAPOWER,Castings & Forgings
AIA Engineering,AIAENG,Castings & Forgings
Balu Forge,BALUFORGE,Castings & Forgings
Ganga Forging,GANGAFORGE,Castings & Forgings
Happy Forgings,HAPPYFORGE,Castings & Forgings
Hilton Met.Forg.,HILTON,Castings & Forgings
Kalyani Forge,KALYANIFRG,Castings & Forgings
Nelcast,NELCAST,Castings & Forgings
Pattech Fitwell,PATTECH,Castings & Forgings
Sharp Chucks and,SCML,Castings & Forgings
Synergy Green,SGIL,Castings & Forgings
Steelcast,STEELCAS,Castings & Forgings
Tirupati Forge,TIRUPATIFL,Castings & Forgings
ACC,ACC,Cement & Cement Products
Ambuja Cements,AMBUJACEM,Cement & Cement Products
Birla Corpn.,BIRLACORPN,Cement & Cement Products
Dalmia BharatLtd,DALBHARAT,Cement & Cement Products
Deccan Cements,DECCANCE,Cement & Cement Products
Grasim Inds,GRASIM,Cement & Cement Products
Heidelberg Cem.,HEIDELBERG,Cement & Cement Products
India Cements,INDIACEM,Cement & Cement Products
J K Cements,JKCEMENT,Cement & Cement Products
JK Lakshmi Cem.,JKLAKSHMI,Cement & Cement Products
JSW Cement,JSWCEMENT,Cement & Cement Products
K C P,KCP,Cement & Cement Products
Mangalam Cement,MANGLMCEM,Cement & Cement Products
NCL Industries,NCLIND,Cement & Cement Products
Nuvoco Vistas,NUVOCO,Cement & Cement Products
Orient Cement,ORIENTCEM,Cement & Cement Products
Prism Johnson,PRSMJOHNSN,Cement & Cement Products
The Ramco Cement,RAMCOCEM,Cement & Cement Products
Sagar Cements,SAGCEM,Cement & Cement Products
Sanghi Industrie,SANGHIIND,Cement & Cement Products
Saurashtra Cem.,SAURASHCEM,Cement & Cement Products
Sh. Digvijay Cem,SHREDIGCEM,Cement & Cement Products
Shree Cement,SHREECEM,Cement & Cement Products
Star Cement,STARCEMENT,Cement & Cement Products
UltraTech Cem.,ULTRACEMCO,Cement & Cement Products
Restile Ceramics,AMIC,Ceramics
Manoj Ceramic,AMIC,Ceramics
Asian Granito,ASIANTILES,Ceramics
Exxaro Tiles,EXXARO,Ceramics
Kajaria Ceramics,KAJARIACER,Ceramics
Murudesh.Ceramic,MURUDCERA,Ceramics
Nitco,NITCO,Ceramics
Orient Bell,ORIENTBELL,Ceramics
Regency Ceramics,REGENCERAM,Ceramics
Somany Ceramics,SOMANYCERA,Ceramics
NTC Industries,NTCIND,Cigarettes & Tobacco Products
Raghunath Intl.,RAGHUNAT,Cigarettes & Tobacco Products
Elitecon Inter.,ELITECON,Cigarettes & Tobacco Products
Godfrey Phillips,GODFRYPHLP,Cigarettes & Tobacco Products
Shanthala FMCG,SHANTHALA,Cigarettes & Tobacco Products
VST Industries,VSTIND,Cigarettes & Tobacco Products
Afcons Infrastr.,AFCONS,Civil Construction
Ahluwalia Contr.,AHLUCONT,Civil Construction
Cemindia Project,CEMPRO,Civil Construction
Dilip Buildcon,DBL,Civil Construction
Engineers India,ENGINERSIN,Civil Construction
G R Infraproject,GRINFRA,Civil Construction
H.G. Infra Engg.,HGINFRA,Civil Construction
IRB Infra.Devl.,IRB,Civil Construction
Ircon Intl.,IRCON,Civil Construction
ISGEC Heavy,ISGEC,Civil Construction
K E C Intl.,KEC,Civil Construction
KNR Construct.,KNRCON,Civil Construction
Kalpataru Proj.,KPIL,Civil Construction
Larsen & Toubro,LT,Civil Construction
Man Infra,MANINFRA,Civil Construction
NBCC,NBCC,Civil Construction
NCC,NCC,Civil Construction
PNC Infratech,PNCINFRA,Civil Construction
Power Mech Proj.,POWERMECH,Civil Construction
Rites,RITES,Civil Construction
Rail Vikas,RVNL,Civil Construction
Shrem InvIT,SHREMINVIT,Civil Construction
Sterling & Wils.,SWSOLAR,Civil Construction
Techno Elec.Engg,TECHNOE,Civil Construction
Welspun Enterp,WELENT,Civil Construction
Foundry Fuel,513579,Coal
Coal India,COALINDIA,Coal
Sandur Manganese,SANDUMA,Coal
Ashok Leyland,ASHOKLEY,Commercial Vehicles
Atul Auto,ATULAUTO,Commercial Vehicles
SML ISUZU,SMLISUZU,Commercial Vehicles
Transpek Inds.,TRANSPEK,Commodity Chemicals
Tuticorin Alkali,506808,Commodity Chemicals
Tanfac Inds.,TANFACIND,Commodity Chemicals
TGV Sraac,TGVSL,Commodity Chemicals
Blue Pearl Agri,BLUECLOUDS,Commodity Chemicals
Vikram Thermo,VIKRAMTH,Commodity Chemicals
POCL Enterprises,539195,Commodity Chemicals
Amines & Plast.,AMNPLST,Commodity Chemicals
Andhra Sugars,ANDHRSUGAR,Commodity Chemicals
Chemfab Alka.,CHEMFAB,Commodity Chemicals
Chemplast Sanmar,CHEMPLASTS,Commodity Chemicals
Deepak Fertilis.,DEEPAKFERT,Commodity Chemicals
GHCL,GHCL,Commodity Chemicals
G N F C,GNFC,Commodity Chemicals
Grauer & Weil,GRAUWEIL,Commodity Chemicals
Gujarat Alkalies,GUJALKALI,Commodity Chemicals
I G Petrochems,IGPL,Commodity Chemicals
Indo Borax & Ch.,INDOBORAX,Commodity Chemicals
J.G.Chemicals,JGCHEM,Commodity Chemicals
OCCL,OCCLLTD,Commodity Chemicals
Primo Chemicals,PRIMO,Commodity Chemicals
SRF,SRF,Commodity Chemicals
Sr.Rayala.Hypo,SRHHYPOLTD,Commodity Chemicals
Tata Chemicals,TATACHEM,Commodity Chemicals
Thirumalai Chem.,TIRUMALCHM,Commodity Chemicals
Cummins India,CUMMINSIND,Compressors
Elgi Equipments,ELGIEQUIP,Compressors
Greaves Cotton,GREAVESCOT,Compressors
Ingersoll-Rand,INGERRAND,Compressors
Kirl. Brothers,KIRLOSBROS,Compressors
Kirloskar Oil,KIRLOSENG,Compressors
Kirl.Pneumatic,KIRLPNU,Compressors
KSB,KSB,Compressors
Latteys Industri,LATTEYS,Compressors
Maks Energy,MAKS,Compressors
Oswal Pumps,OSWALPUMPS,Compressors
Roto Pumps,ROTO,Compressors
Shakti Pumps,SHAKTIPUMP,Compressors
Swaraj Engines,SWARAJENG,Compressors
Yuken India,YUKEN,Compressors
ASM Technologies,BENGALASM,Computers - Software & Consulting
63 Moons Tech.,63MOONS,Computers - Software & Consulting
Aurionpro Sol.,AURIONPRO,Computers - Software & Consulting
Birlasoft Ltd,BSOFT,Computers - Software & Consulting
Coforge,COFORGE,Computers - Software & Consulting
Happiest Minds,HAPPSTMNDS,Computers - Software & Consulting
HCL Technologies,HCLTECH,Computers - Software & Consulting
Hexaware Tech.,HEXT,Computers - Software & Consulting
Infosys,INFY,Computers - Software & Consulting
Intellect Design,INTELLECT,Computers - Software & Consulting
KPIT Technologi.,KPITTECH,Computers - Software & Consulting
Latent View,LATENTVIEW,Computers - Software & Consulting
LTIMindtree,LTIM,Computers - Software & Consulting
Mastek,MASTEK,Computers - Software & Consulting
Magellanic Cloud,MCLOUD,Computers - Software & Consulting
Mphasis,MPHASIS,Computers - Software & Consulting
Newgen Software,NEWGEN,Computers - Software & Consulting
Persistent Syste,PERSISTENT,Computers - Software & Consulting
Rategain Travel,RATEGAIN,Computers - Software & Consulting
Sonata Software,SONATSOFTW,Computers - Software & Consulting
Tata Elxsi,TATAELXSI,Computers - Software & Consulting
TCS,TCS,Computers - Software & Consulting
Tech Mahindra,TECHM,Computers - Software & Consulting
Wipro,WIPRO,Computers - Software & Consulting
Zensar Tech.,ZENSARTECH,Computers - Software & Consulting
Computer Point,CHECKPOINT,Computers Hardware & Equipments
Vama Industries,VAMA,Computers Hardware & Equipments
B C C Fuba India,BCCFUBA,Computers Hardware & Equipments
Fine Line Cir.,FINELINE,Computers Hardware & Equipments
ACI Infocom,TANFACIND,Computers Hardware & Equipments
Vintron Info.,VINTRON,Computers Hardware & Equipments
Bharat Global,SVGLOBAL,Computers Hardware & Equipments
Brisk Technovisi,NOVIS,Computers Hardware & Equipments
Aztec Fluids,AZTEC,Computers Hardware & Equipments
Cerebra Integr.,CEREBRAINT,Computers Hardware & Equipments
Compuage Info.,COMPINFO,Computers Hardware & Equipments
Control Print,CONTROLPR,Computers Hardware & Equipments
DC Infotech,DCI,Computers Hardware & Equipments
D-Link India,DLINKINDIA,Computers Hardware & Equipments
GNG Electronics,EBGNG,Computers Hardware & Equipments
Esconet,ESCONET,Computers Hardware & Equipments
HCL Infosystems,HCL-INSYS,Computers Hardware & Equipments
Moschip Tech.,MOSCHIP,Computers Hardware & Equipments
NELCO,NELCO,Computers Hardware & Equipments
Newjaisa Tech,NEWJAISA,Computers Hardware & Equipments
Richa Info,RICHA,Computers Hardware & Equipments
Rashi Peripheral,RPTECH,Computers Hardware & Equipments
Slone Infosys.,SLONE,Computers Hardware & Equipments
Smartlink Hold.,SMARTLINK,Computers Hardware & Equipments
TVS Elec.,TVSELECT,Computers Hardware & Equipments
Brady & Morris,BRADYM,Construction Vehicles
Action Const.Eq.,ACE,Construction Vehicles
Ajax Engineering,AJAXENGG,Construction Vehicles
BEML Ltd,BEML,Construction Vehicles
TIL,TIL,Construction Vehicles
Lords Mark,LORDSMARK,Consulting Services
Walchand People,501370,Consulting Services
Zodiac Vent.,ZODIACVEN,Consulting Services
Invigorated Bus.,INVIGO,Consulting Services
IMEC Services,IMEC,Consulting Services
IIRM Holdings,IIRM,Consulting Services
Onesource Indus.,530805,Consulting Services
Tradewell Hold,KAMAHOLD,Consulting Services
Artefact Project,ARTEFACT,Consulting Services
Ekansh Concept,EKANSH,Consulting Services
Tarini Internat.,TARINI,Consulting Services
Likhami Consult.,LIKHAMI,Consulting Services
DRA Consultants,DRAGARWQ,Consulting Services
Pro CLB,PROCLB,Consulting Services
Jonjua Overseas,JONJUA,Consulting Services
EKI Energy,ENERGYINF,Consulting Services
Getalong Enterp.,GETALONG,Consulting Services
DMR Engineering,543410,Consulting Services
Techknowgreen,543991,Consulting Services
Qualitek Labs,ROSELABS,Consulting Services
Monarch Surve.,544453,Consulting Services
AAA Technologies,AAATECH,Consulting Services
Dhruv Consultanc,DHRUV,Consulting Services
Manglam Infra,MIEL,Consulting Services
Mitcon Consult.,MITCON,Consulting Services
Calcom Vision,CALCOM,Consumer Electronics
VXL Instruments,VXLINSTR,Consumer Electronics
Sharp India,ADCINDIA,Consumer Electronics
CWD,CWD,Consumer Electronics
Comrade Applian.,COMRADE,Consumer Electronics
Arham Tech,ARHAM,Consumer Electronics
BPL,BPL,Consumer Electronics
Cellecor Gadgets,CELLECOR,Consumer Electronics
Dixon Technolog.,DIXON,Consumer Electronics
Focus Lighting,FOCUS,Consumer Electronics
Havells India,HAVELLS,Consumer Electronics
IKIO Tech,IKIO,Consumer Electronics
Kundan Edifice,KEL,Consumer Electronics
Khaitan (India),KHAITANLTD,Consumer Electronics
MIRC Electronics,MIRCELECTR,Consumer Electronics
Nitiraj Engineer,NITIRAJ,Consumer Electronics
PG Electroplast,PGEL,Consumer Electronics
Pro FX,PROFX,Consumer Electronics
Pulz Electronics,PULZ,Consumer Electronics
Sonam,SONAMLTD,Consumer Electronics
Universus Photo,UNIVPHOTO,Consumer Electronics
Veto Switchgears,VETO,Consumer Electronics
N D Metal Inds.,NDMETAL,Copper
Onix Solar,SOLARIUM,Copper
Mardia Samyoung,513544,Copper
Bhagyanagar Ind,BHAGYANGR,Copper
Hindustan Copper,HINDCOPPER,Copper
Milkfood,507621,Dairy Products
Vadilal Enterp.,519152,Dairy Products
Modern Dairies,519287,Dairy Products
Virat Crane Inds,SUMEETINDS,Dairy Products
SC Agrotech,LOTUSCHO,Dairy Products
Tasty Dairy,MODAIRY,Dairy Products
Healthy Life,HEALTHYLIFE,Dairy Products
Dindigul Farm,544201,Dairy Products
Dodla Dairy,DODLA,Dairy Products
Hatsun Agro,HATSUN,Dairy Products
Heritage Foods,HERITGFOOD,Dairy Products
Parag Milk Foods,PARAGMILK,Dairy Products
Sheetal Cool,SCPL,Dairy Products
Vadilal Inds.,VADILALIND,Dairy Products
Megri Soft,ACESOFT,Data Processing Services
Tracxn Technolo.,TRACXN,Data Processing Services
N S D L,NSDL,Depositories
Beacon Trust.,BEACON,Depositories
Cams Services,CAMS,Depositories
C D S L,CDSL,Depositories
KFin Technolog.,KFINTECH,Depositories
7Seas Enter.,7SEASL,Digital Entertainment
Bodhi Tree,BTML,Digital Entertainment
Nazara Technolo.,NAZARA,Digital Entertainment
M K Exim India,MKEXIM,Distributors
Alstone Textiles,ALSTONE,Distributors
Sattva Sukun,SATTVASUKU,Distributors
Kotia Enterprise,539599,Distributors
Ace Men,ACEMEN,Distributors
Radhagobind Comm,PUNJCOMMU,Distributors
Khemani Distrib.,539788,Distributors
MRP Agro,CIANAGRO,Distributors
3M India,3MINDIA,Diversified
Empire Inds.,509525,Diversified
Alexander Stamps,511463,Diversified
Swasti Vin. Art,ARTSON,Diversified
Krypton Industri,KRYPTONQ,Diversified
Panth Infinity,PANTH,Diversified
HCKK Ventures,MKVENTURES,Diversified
Galactico Corpo.,GALACTICO,Diversified
Billwin Indust.,543209,Diversified
Balmer Lawrie,BALMLAWRIE,Diversified
DCM Shriram,DCMSHRIRAM,Diversified
Dhunseri Vent.,DVL,Diversified
Godrej Industrie,GODREJIND,Diversified
Maheshwari Logi.,MAHESHWARI,Diversified
TTK Healthcare,TTKHLTCARE,Diversified
Nirlon,NIRLON,Diversified Commercial Services
Sobhagya Mercant,MERCANTILE,Diversified Commercial Services
Banganga Paper,BANGANGA,Diversified Commercial Services
Mizzen Ventures,MKVENTURES,Diversified Commercial Services
AWFIS Space,AWFIS,Diversified Commercial Services
Bluspring Enter.,BLUSPRING,Diversified Commercial Services
CMS Info Systems,CMSINFO,Diversified Commercial Services
EFC (I),EFCIL,Diversified Commercial Services
Hemisphere Prop,HEMIPROP,Diversified Commercial Services
International Ge,IGIL,Diversified Commercial Services
Indiqube Spaces,INDIQUBE,Diversified Commercial Services
Kapston Services,KAPSTON,Diversified Commercial Services
Krystal Integrat,KRYSTAL,Diversified Commercial Services
NDR INVIT Trust,NDRINVIT,Diversified Commercial Services
NESCO,NESCO,Diversified Commercial Services
PTL Enterprises,PTL,Diversified Commercial Services
Quess Corp,QUESS,Diversified Commercial Services
Radiant Cash,RADIANTCMS,Diversified Commercial Services
Sanghvi Movers,SANGHVIMOV,Diversified Commercial Services
Smartworks Cowor,SMARTWORKS,Diversified Commercial Services
Tara Chand Infra,TARACHAND,Diversified Commercial Services
Team Lease Serv.,TEAMLEASE,Diversified Commercial Services
Texmaco Infrast.,TEXINFRA,Diversified Commercial Services
Updater Services,UDS,Diversified Commercial Services
Vision Infra,VIESL,Diversified Commercial Services
Davangere Sugar,DAVANGERE,Diversified FMCG
Godavari Bioref.,GODAVARIB,Diversified FMCG
Hind. Unilever,HINDUNILVR,Diversified FMCG
Hindustan Foods,HNDFDS,Diversified FMCG
ITC,ITC,Diversified FMCG
Bonlon Industrie,BONLON,Diversified Metals
Innomet Advanced,INNOMET,Diversified Metals
Jain Resource,JAINREC,Diversified Metals
Pondy Oxides,POCL,Diversified Metals
Vedanta,VEDL,Diversified Metals
Shanti Guru Inds,SHANTIGURU,Diversified Retail
Aditya Consumer,ADITYA,Diversified Retail
Jay Ambe Super.,JAYKAY,Diversified Retail
